#{"t_start": 1734423170.010326, "env_id": "None"}
r,l,t
-30.555708,1000,1598.643888
-8.087902,1000,1598.643898
32.14268,1000,1598.643909
-16.334858,1000,1598.643919
128.29553,1000,1598.643929
-23.976625,1000,1598.643939
81.81813,1000,1598.643948
-29.053812,1000,1598.643958
-25.081713,1000,1598.643968
14.583218,1000,1598.643977
-14.965828,1000,1598.643987
-49.49459,1000,1598.643996
-63.414333,1000,1598.644006
20.521017,1000,1598.644016
-24.13802,1000,1598.644025
14.942305,1000,1598.644034
-19.491045,1000,1598.644044
-31.899817,1000,1598.644053
-51.672794,1000,1598.644063
-12.500116,1000,1598.644072
-20.634525,1000,1598.644082
51.20251,1000,1598.644091
-49.404667,1000,1598.644101
-56.04345,1000,1598.64411
-17.763224,1000,1598.64412
-72.124756,1000,1598.64413
43.750687,1000,1598.644139
-10.891152,1000,1598.644149
-14.089647,1000,1598.644159
138.86626,1000,1598.644168
-32.075485,1000,1598.644178
-86.20617,1000,1598.644187
-12.408561,1000,1598.644197
157.81125,1000,1598.644207
141.13481,1000,1598.644216
-82.07821,1000,1598.644226
-35.064766,1000,1598.644236
3.0927067,1000,1598.644245
-57.654488,1000,1598.644259
-46.428513,1000,1598.644272
-32.203323,1000,1598.644281
14.94241,1000,1598.644291
-38.709705,1000,1598.644301
-61.240017,1000,1598.644311
-29.711859,1000,1598.644321
40.56279,1000,1598.64433
-59.99977,1000,1598.64434
4.5753093,1000,1598.64435
-20.962357,1000,1598.64436
-21.21234,1000,1598.64437
-12.698427,1000,1598.644379
25.412361,1000,1598.644389
2.2363024,1000,1598.644398
3.0925598,1000,1598.644408
185.2451,1000,1598.644418
-52.218086,1000,1598.644428
-31.033737,1000,1598.644437
-44.250763,1000,1598.644447
-26.517714,1000,1598.644457
-16.058548,1000,1598.644467
-35.60538,1000,1598.644476
9.09074,1000,1598.644486
25.000416,1000,1598.644496
23.189066,1000,1598.644506
28.676449,1000,1598.644516
-12.903458,1000,1598.644525
6.382852,1000,1598.644535
-33.544376,1000,1598.644544
-3.009624,1000,1598.644554
-70.873055,1000,1598.644564
-1.4600606,1000,1598.644573
-31.677216,1000,1598.644583
8.474396,1000,1598.644593
-63.89852,1000,1598.64461
-27.083467,1000,1598.64462
46.96473,1000,1598.644629
-24.290443,1000,1598.644637
24.161062,1000,1598.644645
22.30229,1000,1598.644654
-22.794209,1000,1598.644662
49.006546,1000,1598.64467
38.613873,1000,1598.644679
-2.6846373,1000,1598.644687
26.354044,1000,1887.702457
124.24255,1000,1901.911197
16.208683,1000,1925.551987
59.322517,1000,1926.093394
254.01315,1000,1983.393014
258.35745,1000,1983.393066
87.693535,1000,2029.477759
379.85175,1000,2089.211687
246.66527,1000,2092.631068
123.82808,1000,2102.445373
76.6791,1000,2106.891071
295.8295,1000,2137.951199
56.052277,1000,2138.488718
224.32431,1000,2148.21895
119.67344,1000,2148.219003
394.41907,1000,2148.21902
291.84622,1000,2148.219033
253.7876,1000,2148.219044
71.42891,1000,2148.219054
475.754,1000,2148.219064
148.09117,1000,2148.219075
33.803535,1000,2148.219085
286.52203,1000,2148.219094
172.72406,1000,2148.219104
281.2468,1000,2148.219114
240.83238,1000,2148.219124
268.79144,1000,2148.219134
147.42337,1000,2148.219144
163.15814,1000,2148.219154
4.1017966,1000,2148.219164
387.574,1000,2148.219174
34.100952,1000,2148.219183
322.43857,1000,2148.219193
349.27118,1000,2148.219203
200.93965,1000,2148.219213
82.13193,1000,2148.219223
80.7233,1000,2148.219232
-10.958261,1000,2148.219242
320.45166,1000,2148.219252
