#{"t_start": 1734444340.750059, "env_id": "None"}
r,l,t
-30.920788,1000,1260.460419
-19.013788,1000,1262.211616
-29.824263,1000,1263.41072
-86.18889,564,1271.787289
-27.605042,231,1276.508514
-36.454594,1000,1277.446918
16.041973,1000,1289.731385
-63.811058,254,1290.876891
-32.384087,1000,1296.294499
6.582895,1000,1300.051249
-9.40787,1000,1309.123384
-9.604022,1000,1315.895875
0.86538935,1000,1317.05788
12.245859,1000,1318.78845
18.32176,1000,1328.15722
-30.463293,1000,1333.639489
-21.13655,265,1342.821343
-26.73956,1000,1345.733032
-38.906494,1000,1346.869267
-41.558186,1000,1352.205135
-0.68414074,1000,1355.869024
-85.40074,1000,1364.784385
-29.999702,1000,1371.435912
-32.9071,1000,1372.570294
-1.9600016,1000,1374.31061
-23.566471,1000,1389.271549
-40.06283,1000,1398.461768
-30.656633,1000,1401.343951
-34.2558,1000,1402.47713
-60.25461,239,1402.549429
7.280636,1000,1407.84853
-35.48368,1000,1411.553513
-48.01198,1000,1420.596569
-58.4414,223,1423.968248
-22.07773,1000,1427.152207
-8.474241,1000,1428.257406
9.21533,1000,1429.961785
-1.3600358,1000,1453.560526
-40.06283,1000,1456.415375
-28.029966,1000,1457.524499
-41.74731,1000,1457.594086
-29.104149,1000,1462.782957
-34.482506,1000,1475.21289
-25.438196,1000,1478.539935
3.2031326,1000,1481.744871
-4.7615805,1000,1482.95706
29.37097,1000,1484.665975
22.577202,303,1498.455074
-25.54554,520,1507.366239
88.62406,1000,1508.661089
32.203403,1000,1511.513802
-37.90824,1000,1512.623919
12.782234,1000,1512.691694
-15.750352,1000,1517.815485
-87.493576,466,1524.083364
78.439995,1000,1530.085316
11.524414,1000,1537.569183
62.42149,1000,1539.25734
104.30246,1000,1561.286398
26.761536,1000,1562.547333
59.695694,1000,1565.346488
143.24402,1000,1566.452956
85.18592,1000,1566.522301
88.23666,1000,1571.759034
103.3346,1000,1578.197865
-24.46022,1000,1584.402874
-42.072918,1000,1592.086034
42.323357,1000,1593.789779
310.2528,1000,1616.138332
-41.747364,1000,1617.424648
-39.39368,1000,1620.290793
69.43494,1000,1621.416017
321.04767,1000,1621.485994
-43.46262,1000,1626.877348
145.66052,1000,1633.40859
-26.315426,1000,1639.587368
-32.806046,1000,1647.281337
-34.782337,1000,1649.023212
77.082,1000,1671.969308
-38.14407,1000,1673.292085
-7.120042,1000,1676.362083
0.00081028044,1000,1677.513385
-18.287409,1000,1677.585152
-34.98426,1000,1682.952314
-30.555256,1000,1689.472534
-32.623856,1000,1695.761114
-29.629328,1000,1703.603828
207.16467,1000,1705.373646
-33.120766,1000,1728.474667
-29.529915,1000,1729.772265
2.7405858,1000,1732.65141
-27.27239,1000,1733.817248
-46.843582,1000,1733.890362
-32.307453,1000,1739.381793
-5.84345,1000,1745.879507
25.000357,1000,1752.177426
-15.384692,1000,1760.041926
-32.659626,1000,1761.813334
338.40305,1000,1784.977917
223.02109,1000,1786.300796
360.5657,1000,1789.244786
333.65442,1000,1790.397078
196.81575,1000,1790.469671
105.57626,1000,1795.864396
189.80576,1000,1802.4382
240.11191,1000,1808.724792
-26.421057,1000,1816.527303
137.45926,1000,1818.294294
534.97906,1000,1841.496006
27.329092,1000,1842.868676
322.4905,1000,1845.843166
550.8465,1000,1846.988233
319.92715,1000,1847.059563
228.02435,1000,1852.433888
270.62738,1000,1858.981866
595.97125,1000,1865.319593
160.71407,1000,1873.254356
38.710526,1000,1875.044934
131.2509,1000,1898.489423
63.19456,1000,1899.830357
254.83745,1000,1902.815387
426.78253,1000,1903.970848
584.4071,1000,1904.044342
473.42398,1000,1909.431113
369.59354,1000,1916.088969
343.7678,1000,1922.484272
369.05307,1000,1930.433428
199.33961,1000,1932.208467
560.38257,1000,1955.350138
667.36646,1000,1956.656393
362.89267,1000,1959.55827
849.0267,1000,1960.694877
452.14432,1000,1960.766358
108.09282,1000,1966.058308
250.55234,1000,1972.507493
22.450043,1000,1978.733733
198.80136,1000,1986.375031
176.4471,1000,1988.11663
459.13663,1000,2010.963319
772.5974,1000,2012.271405
399.99606,1000,2015.211428
311.36636,1000,2016.356066
66.66799,1000,2016.428198
626.0282,1000,2021.806479
379.09677,1000,2028.320683
215.25154,1000,2034.68032
-39.49046,1000,2042.447669
-32.624092,1000,2044.18253
-64.62985,1000,2066.95943
-29.448114,1000,2068.350786
-5.796768,1000,2071.215264
-59.183327,1000,2072.333255
-24.092482,1000,2072.404016
-41.66671,1000,2077.664718
-81.071884,1000,2084.157175
-88.80519,1000,2090.392137
-93.749146,1000,2098.356886
-93.1026,1000,2100.085243
-92.881714,1000,2122.765828
-93.48449,1000,2124.069238
-92.881714,1000,2126.952111
-93.749146,1000,2128.076693
-93.33248,1000,2128.146876
-93.72955,1000,2133.356889
-93.35463,1000,2139.648016
-93.33248,1000,2145.713242
-92.90695,1000,2153.236701
-92.8563,1000,2154.932713
-92.830696,1000,2177.20312
-92.90695,1000,2178.481283
-93.03051,1000,2181.304671
-92.61909,1000,2182.409317
-93.1263,1000,2182.481184
-92.306854,1000,2187.669025
-93.54753,1000,2194.062415
-93.39849,1000,2200.185901
-93.1263,1000,2207.747831
-93.21949,1000,2209.472632
-93.58889,1000,2232.108819
-91.934654,1000,2233.438717
-92.90695,1000,2236.334386
-93.19643,1000,2237.467408
-92.90695,1000,2237.538688
-93.265144,1000,2242.7931
-89.725174,1000,2249.230601
-66.16457,1000,2255.449476
-63.575325,1000,2263.118888
-63.454308,1000,2264.857608
-138.29465,688,2287.239511
-70.39432,1000,2287.539547
-20.885754,1000,2288.844106
-69.3873,1000,2291.720111
-44.827118,1000,2292.841435
-60.31714,1000,2292.914696
74.7574,1000,2298.1521
79.48736,1000,2310.500505
241.90952,1000,2318.098271
252.72433,1000,2319.83193
401.6903,1000,2342.445515
57.53486,1000,2342.737544
63.26529,1000,2344.021962
64.87463,1000,2346.905293
103.06212,1000,2348.042937
300.66882,1000,2348.113642
166.15501,1000,2353.443319
227.53242,1000,2366.118838
257.35327,1000,2373.742912
426.663,1000,2375.442608
246.42471,1000,2397.558216
412.91232,1000,2397.843229
60.959312,1000,2399.101989
157.94585,1000,2401.917789
33.859596,1000,2403.011243
72.4129,1000,2403.080547
88.9741,1000,2408.292645
93.10172,1000,2420.709449
51.751625,1000,2428.362379
14.584406,1000,2430.097227
18.005188,245,2434.301708
-130.88567,981,2451.865684
91.88324,1000,2453.224992
-36.55565,1000,2454.548015
1.4501116,1000,2457.471958
-30.817324,1000,2458.623228
-29.292627,1000,2458.697917
-2.5262792,1000,2464.102247
-44.785316,1000,2484.905076
-86.30756,550,2485.774862
4.4312763,1000,2486.697931
-36.24136,1000,2490.965374
-38.533134,253,2501.145253
38.47357,227,2503.917128
-33.566166,1000,2508.742287
180.79779,1000,2510.12093
69.096344,810,2510.192042
4.9189086,1000,2514.369329
32.076584,1000,2515.524348
235.48306,1000,2515.600861
-52.380695,1000,2541.344395
104.226006,1000,2542.191222
33.10721,1000,2557.118632
-32.88566,1000,2559.842931
-40.14057,1000,2564.607899
39.53631,1000,2565.992884
51.515755,1000,2566.065022
-38.709423,1000,2570.356318
229.22968,1000,2571.517846
32.717422,1000,2571.590561
35.136513,1000,2597.956167
497.21808,1000,2598.827591
423.65466,1000,2614.175585
323.6711,1000,2616.971624
291.68707,1000,2621.777365
306.14978,1000,2623.141608
269.39886,1000,2623.215892
417.11948,1000,2627.410132
84.21028,1000,2628.551225
92.305305,1000,2628.719344
358.45773,1000,2654.617159
273.0738,1000,2655.473469
447.84982,1000,2670.693591
330.70972,1000,2673.438179
493.63605,1000,2678.21388
319.84283,1000,2679.557841
247.33447,1000,2679.628542
262.9851,1000,2683.706428
362.58047,1000,2684.826835
24.611805,1000,2684.900324
197.08969,548,2685.47134
429.20508,1000,2711.52982
618.5157,1000,2726.496106
847.7695,1000,2729.239451
847.16144,1000,2733.996135
301.89752,1000,2735.34886
851.5029,1000,2735.419759
748.634,979,2739.545938
378.1204,1000,2739.617137
685.71826,1000,2740.826199
673.46674,1000,2741.4094
230.87802,1000,2767.712603
-38.650055,1000,2782.791829
66.05147,1000,2785.558442
319.34958,1000,2790.409085
218.44778,1000,2791.792317
143.8976,1000,2791.866452
224.31955,1000,2796.000701
80.27057,1000,2796.073704
46.667923,1000,2797.28126
181.35103,1000,2797.871683
-78.72277,1000,2824.106251
-93.689995,1000,2839.213006
-92.75278,1000,2841.951191
-92.536476,1000,2846.706499
-93.70983,1000,2848.079761
-93.24239,1000,2848.150287
-89.79513,1000,2852.224223
-93.64994,1000,2852.294592
-93.00614,1000,2853.477649
-93.70983,1000,2854.052726
-93.864174,1000,2880.00614
-166.82669,909,2892.601218
49.30631,1000,2894.967204
66.667404,1000,2902.411955
229.45746,1000,2903.761263
-77.27189,1000,2903.835259
141.15681,1000,2907.917914
-77.70616,1000,2907.98921
-68.651184,1000,2909.175193
-71.52953,1000,2909.74675
-52.371277,212,2915.692531
279.08368,1000,2935.754984
39.286533,1000,2948.518911
405.78732,1000,2950.843489
-28.825312,1000,2958.214051
47.059692,1000,2959.573506
231.00558,1000,2963.702976
313.32892,1000,2963.775002
117.2372,1000,2964.963426
54.981804,1000,2965.546045
235.2554,1000,2971.512784
-33.534504,1000,2991.108595
-84.614685,1000,3003.454327
-82.393715,1000,3005.768217
-87.137505,1000,3013.091245
-81.54918,1000,3014.420067
-73.84068,274,3018.483021
-82.63823,1000,3018.48307
-84.47128,1000,3018.552171
-78.722824,1000,3019.707755
-81.411934,1000,3020.273598
-84.67364,1000,3026.123503
-95.193,343,3033.252348
-42.29772,482,3039.567204
-98.39243,658,3041.8769
-56.442867,206,3044.657262
74.90541,1000,3046.0453
-54.994633,875,3066.725564
238.07434,1000,3073.550694
161.98781,1000,3073.550741
-26.056086,1000,3074.790552
153.24252,1000,3075.370461
193.51076,1000,3081.383882
-66.63763,279,3090.89497
-12.772214,1000,3094.909197
112.22615,1000,3097.211678
-84.15706,596,3099.751706
-58.496437,334,3099.836773
-41.35777,1000,3099.960086
-33.09832,1000,3101.316827
44.86615,219,3103.060436
43.561935,187,3105.355063
-47.88771,717,3113.412993
-26.174149,1000,3129.114681
21.108427,1000,3130.3454
101.823166,574,3131.758112
52.721268,685,3135.363795
227.78784,542,3135.5043
-22.125488,833,3146.238788
297.89996,834,3149.566314
82.4116,1000,3155.853671
-21.157562,372,3156.434658
10.727613,1000,3157.338039
-10.595376,1000,3169.721709
-24.092009,1000,3185.825501
25.001286,1000,3187.12927
109.14808,1000,3188.566105
176.08932,1000,3192.151212
-39.02414,1000,3203.007878
177.94064,1000,3206.305642
398.20255,1000,3212.426538
378.5674,1000,3213.001106
226.46565,1000,3213.800317
8.62701,1000,3225.841022
-87.01222,1000,3241.560674
-85.50654,1000,3242.786144
-85.81486,1000,3244.193892
-80.13171,1000,3247.789363
-72.44033,1000,3258.629285
-69.17742,1000,3261.958776
-68.651276,1000,3268.172698
-56.203693,1000,3268.755061
-86.92725,1000,3269.558388
-76.02679,1000,3281.802022
192.6825,429,3293.534482
156.04123,838,3294.708548
-90.6534,1000,3297.544605
-86.531235,1000,3298.775595
-82.5168,1000,3300.187981
64.974106,214,3306.730411
241.21204,1000,3314.673689
110.72413,1000,3317.939411
504.48425,1000,3324.06731
335.8935,1000,3324.641343
-24.549873,769,3324.712949
44.567368,256,3338.980894
811.8723,1000,3349.22073
251.60818,1000,3353.154606
